title,releaseYear,runtimeMins,genre,director,worldwideGross,grossUSA,budget,imdbRating,listRank,url
Witness for the Prosecution,1957,116,Crime,Billy Wilder,7693,No info,3000000,8.4,50,https://www.imdb.com/title/tt0051201/
Avengers: Infinity War,2018,149,Action,Anthony Russo,2048359754,678815482,321000000,8.4,51,https://www.imdb.com/title/tt4154756/
WALL·E,2008,98,Animation,Andrew Stanton,521311890,223808164,180000000,8.4,52,https://www.imdb.com/title/tt0910970/
Sunset Blvd.,1950,110,Drama,Billy Wilder,300073,299645,1752000,8.4,53,https://www.imdb.com/title/tt0043014/
The Shining,1980,144,Drama,Stanley Kubrick,46998772,45332952,19000000,8.4,54,https://www.imdb.com/title/tt0081505/
Spider-Man: Into the Spider-Verse,2018,117,Animation,Bob Persichetti,375540831,190241310,90000000,8.4,55,https://www.imdb.com/title/tt4633694/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,Stanley Kubrick,9443876,9440272,1800000,8.4,56,https://www.imdb.com/title/tt0057012/
The Dark Knight Rises,2012,164,Action,Christopher Nolan,1081142612,448139099,250000000,8.4,57,https://www.imdb.com/title/tt1345836/
Once Upon a Time in America,1984,229,Crime,Sergio Leone,5472914,5321508,30000000,8.4,58,https://www.imdb.com/title/tt0087843/
Coco,2017,105,Animation,Lee Unkrich,807817888,210460015,175000000,8.4,59,https://www.imdb.com/title/tt2380307/
Avengers: Endgame,2019,181,Action,Anthony Russo,2797501328,858373000,356000000,8.4,60,https://www.imdb.com/title/tt4154796/
Aliens,1986,137,Action,James Cameron,131060248,85160248,18500000,8.3,61,https://www.imdb.com/title/tt0090605/
Braveheart,1995,178,Biography,Mel Gibson,213216216,75609945,72000000,8.3,62,https://www.imdb.com/title/tt0112573/
American Beauty,1999,122,Drama,Sam Mendes,356296601,130096601,15000000,8.3,63,https://www.imdb.com/title/tt0169547/
Amadeus,1984,160,Biography,Milos Forman,52066791,51973029,18000000,8.3,64,https://www.imdb.com/title/tt0086879/
Toy Story,1995,81,Animation,John Lasseter,394436586,223225679,30000000,8.3,65,https://www.imdb.com/title/tt0114709/
Inglourious Basterds,2009,153,Adventure,Quentin Tarantino,321457747,120540719,70000000,8.3,66,https://www.imdb.com/title/tt0361748/
Good Will Hunting,1997,126,Drama,Gus Van Sant,225933435,138433435,10000000,8.3,67,https://www.imdb.com/title/tt0119217/
The Father,2020,97,Drama,Florian Zeller,3806932,1627007,No info,8.3,68,https://www.imdb.com/title/tt10272386/
Star Wars: Episode VI - Return of the Jedi,1983,131,Action,Richard Marquand,475106177,309306177,32500000,8.3,69,https://www.imdb.com/title/tt0086190/
Reservoir Dogs,1992,99,Crime,Quentin Tarantino,2892430,2832029,1200000,8.3,70,https://www.imdb.com/title/tt0105236/
2001: A Space Odyssey,1968,149,Adventure,Stanley Kubrick,65783882,60405931,12000000,8.3,71,https://www.imdb.com/title/tt0062622/
Requiem for a Dream,2000,102,Drama,Darren Aronofsky,7390108,3635482,4500000,8.3,72,https://www.imdb.com/title/tt0180093/
Vertigo,1958,128,Mystery,Alfred Hitchcock,7797300,7705225,2479000,8.3,73,https://www.imdb.com/title/tt0052357/
Eternal Sunshine of the Spotless Mind,2004,108,Drama,Michel Gondry,74036715,34400301,20000000,8.3,74,https://www.imdb.com/title/tt0338013/
Singin' in the Rain,1952,103,Comedy,Stanley Donen,1865056,1826108,2540800,8.3,75,https://www.imdb.com/title/tt0045152/
Citizen Kane,1941,119,Drama,Orson Welles,1600719,1585634,839727,8.3,76,https://www.imdb.com/title/tt0033467/
North by Northwest,1959,136,Adventure,Alfred Hitchcock,73695,No info,3101000,8.3,77,https://www.imdb.com/title/tt0053125/
Snatch,2000,104,Comedy,Guy Ritchie,83557872,30328156,No info,8.3,78,https://www.imdb.com/title/tt0208092/
Full Metal Jacket,1987,116,Drama,Stanley Kubrick,46357676,46357676,30000000,8.3,79,https://www.imdb.com/title/tt0093058/
Scarface,1983,170,Crime,Brian De Palma,65884703,45408703,25000000,8.3,80,https://www.imdb.com/title/tt0086250/
1917,2019,119,Drama,Sam Mendes,384965466,159227644,95000000,8.3,81,https://www.imdb.com/title/tt8579674/
A Clockwork Orange,1971,136,Crime,Stanley Kubrick,26904636,26589355,2200000,8.3,82,https://www.imdb.com/title/tt0066921/
The Sting,1973,129,Comedy,George Roy Hill,156000000,156000000,5500000,8.3,83,https://www.imdb.com/title/tt0070735/
The Apartment,1960,125,Comedy,Billy Wilder,18778454,18600000,3000000,8.3,84,https://www.imdb.com/title/tt0053604/
Lawrence of Arabia,1962,187,Adventure,David Lean,45715757,45306425,15000000,8.3,85,https://www.imdb.com/title/tt0056172/
Double Indemnity,1944,107,Crime,Billy Wilder,13886,No info,927262,8.3,86,https://www.imdb.com/title/tt0036775/
Taxi Driver,1976,114,Crime,Martin Scorsese,28441292,28262574,1300000,8.2,87,https://www.imdb.com/title/tt0075314/
Toy Story 3,2010,103,Animation,Lee Unkrich,1066970811,415004880,200000000,8.2,88,https://www.imdb.com/title/tt0435761/
To Kill a Mockingbird,1962,129,Crime,Robert Mulligan,599146,592237,2000000,8.2,89,https://www.imdb.com/title/tt0056592/
Up,2009,96,Animation,Pete Docter,735099102,293004164,175000000,8.2,90,https://www.imdb.com/title/tt1049413/
Indiana Jones and the Last Crusade,1989,127,Action,Steven Spielberg,474171806,197171806,48000000,8.2,91,https://www.imdb.com/title/tt0097576/
Heat,1995,170,Crime,Michael Mann,187436818,67436818,60000000,8.2,92,https://www.imdb.com/title/tt0113277/
Green Book,2018,130,Biography,Peter Farrelly,321752656,85080171,23000000,8.2,93,https://www.imdb.com/title/tt6966692/
L.A. Confidential,1997,138,Crime,Curtis Hanson,126216940,64616940,35000000,8.2,94,https://www.imdb.com/title/tt0119488/
Die Hard,1988,132,Action,John Mctiernan,141603197,83844093,28000000,8.2,95,https://www.imdb.com/title/tt0095016/
Batman Begins,2005,140,Action,Christopher Nolan,373661946,206852432,150000000,8.2,96,https://www.imdb.com/title/tt0372784/
Monty Python and the Holy Grail,1975,91,Adventure,Terry Gilliam,1940906,1827696,No info,8.2,97,https://www.imdb.com/title/tt0071853/
Judgment at Nuremberg,1961,179,Drama,Stanley Kramer,12180,No info,3000000,8.2,98,https://www.imdb.com/title/tt0055031/
Some Like It Hot,1959,121,Comedy,Billy Wilder,195088,No info,2883848,8.2,99,https://www.imdb.com/title/tt0053291/
All About Eve,1950,138,Drama,Joseph L. Mankiewicz,151052,63463,1400000,8.2,100,https://www.imdb.com/title/tt0042192/
Unforgiven,1992,130,Drama,Clint Eastwood,159157447,101157447,14400000,8.2,101,https://www.imdb.com/title/tt0105695/
The Great Escape,1963,172,Adventure,John Sturges,227940,No info,4000000,8.2,102,https://www.imdb.com/title/tt0057115/
A Beautiful Mind,2001,135,Biography,Ron Howard,316791257,170742341,58000000,8.2,103,https://www.imdb.com/title/tt0268978/
The Wolf of Wall Street,2013,180,Biography,Martin Scorsese,392000694,116900694,100000000,8.2,104,https://www.imdb.com/title/tt0993846/
Casino,1995,178,Crime,Martin Scorsese,116112375,42512375,52000000,8.2,105,https://www.imdb.com/title/tt0112641/
To Be or Not to Be,1942,99,Comedy,Ernst Lubitsch,4578000,3270000,No info,8.2,106,https://www.imdb.com/title/tt0035446/
The Treasure of the Sierra Madre,1948,126,Adventure,John Huston,5014000,5014000,3000000,8.2,107,https://www.imdb.com/title/tt0040897/
There Will Be Blood,2007,158,Drama,Paul Thomas Anderson,76182388,40222514,25000000,8.2,108,https://www.imdb.com/title/tt0469494/
"Lock, Stock and Two Smoking Barrels",1998,107,Action,Guy Ritchie,3753929,3753929,No info,8.2,109,https://www.imdb.com/title/tt0120735/
Klaus,2019,96,Animation,Sergio Pablos,No info,No info,40000000,8.2,110,https://www.imdb.com/title/tt4729430/
Dial M for Murder,1954,105,Crime,Alfred Hitchcock,18816,12562,1400000,8.2,111,https://www.imdb.com/title/tt0046912/
Raging Bull,1980,129,Biography,Martin Scorsese,23402427,23383987,18000000,8.2,112,https://www.imdb.com/title/tt0081398/
Shutter Island,2010,138,Mystery,Martin Scorsese,294805697,128012934,80000000,8.2,113,https://www.imdb.com/title/tt1130884/
"Three Billboards Outside Ebbing, Missouri",2017,115,Comedy,Martin Mcdonagh,160192267,54513740,15000000,8.1,114,https://www.imdb.com/title/tt5027774/
Chinatown,1974,130,Drama,Roman Polanski,29225935,29200000,6000000,8.1,115,https://www.imdb.com/title/tt0071315/
