title,releaseYear,runtimeMins,genre,director,worldwideGross,grossUSA,budget,imdbRating,listRank,url
Brief Encounter,1945,86,Drama,David Lean,107384,No info,No info,8.0,211,https://www.imdb.com/title/tt0037558/
The Imitation Game,2014,114,Biography,Morten Tyldum,233555708,91125683,14000000,8.0,212,https://www.imdb.com/title/tt2084970/
Donnie Darko,2001,113,Drama,Richard Kelly,6981586,1478493,6000000,8.0,213,https://www.imdb.com/title/tt0246578/
Jaws,1975,124,Adventure,Steven Spielberg,471411300,260758300,7000000,8.0,214,https://www.imdb.com/title/tt0073195/
Anatomy of a Murder,1959,161,Crime,Otto Preminger,No info,11900000,No info,8.0,215,https://www.imdb.com/title/tt0052561/
The Wizard of Oz,1939,102,Adventure,Victor Fleming,25407411,24438411,2777000,8.0,216,https://www.imdb.com/title/tt0032138/
Young Frankenstein,1974,106,Comedy,Mel Brooks,86273333,86273333,2800000,8.0,217,https://www.imdb.com/title/tt0072431/
JFK,1991,189,Drama,Oliver Stone,205405498,70405498,40000000,8.0,218,https://www.imdb.com/title/tt0102138/
Dances with Wolves,1990,181,Adventure,Kevin Costner,424208848,184208848,22000000,8.0,219,https://www.imdb.com/title/tt0099348/
Ratatouille,2007,111,Animation,Brad Bird,623726085,206445654,150000000,8.0,220,https://www.imdb.com/title/tt0382932/
The Incredibles,2004,115,Animation,Brad Bird,631607053,261441092,92000000,8.0,221,https://www.imdb.com/title/tt0317705/
Zootopia,2016,108,Animation,Byron Howard,1023792558,341268248,150000000,8.0,222,https://www.imdb.com/title/tt2948356/
The Bourne Ultimatum,2007,115,Action,Paul Greengrass,444100035,227471070,110000000,8.0,223,https://www.imdb.com/title/tt0440963/
Rain Man,1988,133,Drama,Barry Levinson,354825435,172825435,25000000,8.0,224,https://www.imdb.com/title/tt0095953/
The Avengers,2012,143,Action,Joss Whedon,1518815515,623357910,220000000,8.0,225,https://www.imdb.com/title/tt0848228/
The Night of the Hunter,1955,92,Crime,Charles Laughton,2001,No info,795000,8.0,226,https://www.imdb.com/title/tt0048424/
Rosemary's Baby,1968,137,Drama,Roman Polanski,No info,No info,2300000,8.0,227,https://www.imdb.com/title/tt0063522/
Kill Bill: Vol. 2,2004,137,Action,Quentin Tarantino,154118820,66208183,30000000,8.0,228,https://www.imdb.com/title/tt0378194/
Kind Hearts and Coronets,1949,106,Comedy,Robert Hamer,145583,35948,No info,8.0,229,https://www.imdb.com/title/tt0041546/
Magnolia,1999,188,Drama,Paul Thomas Anderson,48451803,22455976,37000000,8.0,230,https://www.imdb.com/title/tt0175880/
La La Land,2016,128,Comedy,Damien Chazelle,448864344,151101803,30000000,8.0,231,https://www.imdb.com/title/tt3783958/
12 Monkeys,1995,129,Mystery,Terry Gilliam,168839459,57141459,29000001,8.0,232,https://www.imdb.com/title/tt0114746/
Out of the Past,1947,97,Crime,Jacques Tourneur,No info,No info,No info,8.0,233,https://www.imdb.com/title/tt0039689/
The Pursuit of Happyness,2006,117,Biography,Gabriele Muccino,307127625,163566459,55000000,8.0,234,https://www.imdb.com/title/tt0454921/
Who's Afraid of Virginia Woolf?,1966,131,Drama,Mike Nichols,28005068,28000000,7500000,8.0,235,https://www.imdb.com/title/tt0061184/
Blood Diamond,2006,143,Adventure,Edward Zwick,171720398,57377916,100000000,8.0,236,https://www.imdb.com/title/tt0450259/
The Martian,2015,144,Adventure,Ridley Scott,630162448,228433663,108000000,8.0,237,https://www.imdb.com/title/tt3659388/
Her,2013,126,Drama,Spike Jonze,48517427,25568251,23000000,8.0,238,https://www.imdb.com/title/tt1798709/
Fiddler on the Roof,1971,181,Drama,Norman Jewison,10405457,10404330,9000000,8.0,239,https://www.imdb.com/title/tt0067093/
Cat on a Hot Tin Roof,1958,108,Drama,Richard Brooks,No info,No info,3000000,8.0,240,https://www.imdb.com/title/tt0051459/
The King's Speech,2010,118,Biography,Tom Hooper,427374317,138797449,15000000,8.0,241,https://www.imdb.com/title/tt1504320/
Rio Bravo,1959,141,Action,Howard Hawks,No info,12535000,No info,8.0,242,https://www.imdb.com/title/tt0053221/
Blade Runner 2049,2017,164,Action,Denis Villeneuve,259334548,92054159,150000000,8.0,243,https://www.imdb.com/title/tt1856101/
The Last Picture Show,1971,118,Drama,Peter Bogdanovich,29146131,29133000,1300000,8.0,244,https://www.imdb.com/title/tt0067328/
Rope,1948,80,Crime,Alfred Hitchcock,10433,No info,1500000,8.0,245,https://www.imdb.com/title/tt0040746/
Sling Blade,1996,135,Drama,Billy Bob Thornton,24444121,24444121,1000000,8.0,246,https://www.imdb.com/title/tt0117666/
Slumdog Millionaire,2008,120,Drama,Danny Boyle,378410542,141319928,15000000,8.0,247,https://www.imdb.com/title/tt1010048/
Touch of Evil,1958,95,Crime,Orson Welles,2286947,2247465,829000,8.0,248,https://www.imdb.com/title/tt0052311/
Cinderella Man,2005,144,Biography,Ron Howard,108539911,61649911,88000000,8.0,249,https://www.imdb.com/title/tt0352248/
Annie Hall,1977,93,Comedy,Woody Allen,38287178,38251425,4000000,8.0,250,https://www.imdb.com/title/tt0075686/
