name,birthYear,birthCountry,trademark,directorCredits,url
Orson Welles,1915,USA,Low angles,62,https://www.imdb.com/name/nm0000080/
Guy Ritchie,1968,UK,Numerous plot threads that intersect and assist in each other's payoffs,28,https://www.imdb.com/name/nm0005363/
Brian De Palma,1940,USA,"[Split screen] Often uses split screens (created optically or using a split diopter while shooting) to build suspense and/or convey story information. This allows the audience to choose what to look at and engages them further in the story (Phantom of the Paradise (1974), Carrie (1976), Dressed to Kill (1980), Blow Out (1981), The Bonfire of the Vanities (1990), Mission: Impossible (1996), Snake ...",43,https://www.imdb.com/name/nm0000361/
George Roy Hill,1921,USA,The use of Jump cuts in action sequences,20,https://www.imdb.com/name/nm0001351/
David Lean,1908,UK,"Trains/locomotives playing a significant role in the film's plot (e.g., Brief Encounter (1945), The Bridge on the River Kwai (1957), Summertime (1955), Doctor Zhivago (1965), etc.).",19,https://www.imdb.com/name/nm0000180/
Robert Mulligan,1925,USA,No info,34,https://www.imdb.com/name/nm0612322/
Pete Docter,1968,USA,His films often feature the main character protecting a child in some way.,12,https://www.imdb.com/name/nm0230032/
Michael Mann,1943,USA,"Most of his movies contain a group of people using a speaker phone. The person on the other end always asks, ""Who am I talking to?"" and one of the others will rattle off a list of names (Heat (1995) and Manhunter (1986)).",24,https://www.imdb.com/name/nm0000520/
Peter Farrelly,1956,USA,Films often contain flashback scenes that show how a character was affected by a traumatic event,21,https://www.imdb.com/name/nm0268380/
Curtis Hanson,1945,USA,Characters in his films often reference or are seen watching movies from the Golden Age of cinema.,18,https://www.imdb.com/name/nm0000436/
John McTiernan,1951,USA,Connecting separate shots with a camera pan,12,https://www.imdb.com/name/nm0001532/
Terry Gilliam,1940,USA,"Frequently casts Jonathan Pryce, Katherine Helmond, Michael Palin, John Cleese, Eric Idle, Robin Williams, Johnny Depp, Jeff Bridges, Christopher Plummer, Peter Stormare and Tom Waits.",21,https://www.imdb.com/name/nm0000416/
Stanley Kramer,1913,USA,No info,20,https://www.imdb.com/name/nm0006452/
Joseph L. Mankiewicz,1909,USA,No info,22,https://www.imdb.com/name/nm0000581/
Clint Eastwood,1930,USA,His leading ladies are almost never played by an A-list actress,43,https://www.imdb.com/name/nm0000142/
John Sturges,1910,USA,Predominantly male ensemble casts.,44,https://www.imdb.com/name/nm0836328/
Ron Howard,1954,USA,Frequently uses music by James Horner and songs by Randy Newman.,48,https://www.imdb.com/name/nm0000165/
Ernst Lubitsch,1892,Germany,"In most of his comedies, he took up serious subjects and spiced them with elegance, sophistication, cynicism and witty lines - It became known as ""the Lubitsch Touch.""",75,https://www.imdb.com/name/nm0523932/
John Huston,1906,USA,Frequently cast Humphrey Bogart,47,https://www.imdb.com/name/nm0001379/
Paul Thomas Anderson,1970,USA,His films often have family relationships as a major theme,46,https://www.imdb.com/name/nm0000759/
Sergio Pablos,No info,No info,No info,1,https://www.imdb.com/name/nm0655053/
Martin McDonagh,1970,UK,"Often casts Zeljko Ivanek, Colin Farrell, Woody Harrelson, Abbie Cornish and Sam Rockwell",5,https://www.imdb.com/name/nm1732981/
James McTeigue,No info,No info,No info,10,https://www.imdb.com/name/nm0574625/
David Lynch,1946,USA,Constant references to dreams as a way of connecting the plot and twists in his  films.,96,https://www.imdb.com/name/nm0000186/
Gavin O'Connor,1963,USA,Often works with Ben Affleck,19,https://www.imdb.com/name/nm0640334/
Ethan Coen,1957,USA,"A tense situation in a moving car. E.g. Fargo (1996), The Big Lebowski (1998), Burn After Reading (2008) and Blood Simple (1984).",23,https://www.imdb.com/name/nm0001053/
John Carpenter,1948,USA,"[Attribution] The words ""John Carpenter's"" appear before almost all of his film and TV titles (e.g., John Carpenter's Halloween (1978)).",32,https://www.imdb.com/name/nm0000118/
Victor Fleming,1889,USA,No info,51,https://www.imdb.com/name/nm0281808/
M. Night Shyamalan,1970,India,"Car crashes play pivotal roles in all his films: Cole reveals his gift to his mother  during a traffic jam in The Sixth Sense (1999), David ""loses"" his football  abilities in a car accident in Unbreakable (2000), and Graham's wife dies  in a bizarre car accident in Signs (2002).",18,https://www.imdb.com/name/nm0796117/
Danny Boyle,1956,UK,His protagonists are often unsympathetic in some way,31,https://www.imdb.com/name/nm0000965/
Peter Weir,1944,Australia,"His characters often interact with technology, especially television, in ways that harm them or surprise the viewer, e.g. the church big screen TV in The Mosquito Coast (1986); the living room TV and TV control center in The Truman Show (1998); radio playing in the barn in Witness (1985), and so on.",30,https://www.imdb.com/name/nm0001837/
Moustapha Akkad,1930,Syria,Is known as the grandfather of the Halloween movies,3,https://www.imdb.com/name/nm0002160/
Elia Kazan,1909,Turkey,Frequently cast Marlon Brando and Karl Malden,21,https://www.imdb.com/name/nm0001415/
Carol Reed,1906,UK,Often cast Trevor Howard,35,https://www.imdb.com/name/nm0715346/
